行业类型,数据时间,有功功率最大值（kw）,有功功率最小值（kw）
大工业用电,2019/3/31,125339.4384,96819.5064
大工业用电,2019/4/1,140624.7558,112591.7148
大工业用电,2019/4/2,138973.797,110305.5774
大工业用电,2019/4/3,140180.9172,109311.7506
大工业用电,2019/4/4,131939.0496,92050.8288
大工业用电,2019/4/5,107922.9402,57506.3724
大工业用电,2019/4/6,105240.7842,65793.7254
大工业用电,2019/4/7,123497.1912,95876.2116
大工业用电,2019/4/8,142263.7932,109855.1196
大工业用电,2019/4/9,143186.1756,109275.192
大工业用电,2019/4/10,146660.7108,114215.7624
大工业用电,2019/4/11,136882.9536,104716.8288
大工业用电,2019/4/12,134253.5268,105442.3176
大工业用电,2019/4/13,137762.2992,107815.0026
大工业用电,2019/4/14,134319.8616,102873.6432
大工业用电,2019/4/15,129946.233,104568.4524
大工业用电,2019/4/16,134479.0614,104293.4022
大工业用电,2019/4/17,129758.544,106809.9972
大工业用电,2019/4/18,128323.9128,102690.6384
大工业用电,2019/4/19,129004.8588,104968.2918
大工业用电,2019/4/20,130021.4136,103851.0204
大工业用电,2019/4/21,124377.1158,95431.392
大工业用电,2019/4/22,146709.6726,106313.7306
大工业用电,2019/4/23,148031.694,116694.6294
大工业用电,2019/4/24,148863.5724,114307.6428
大工业用电,2019/4/25,148364.3184,115547.763
大工业用电,2019/4/26,141903.2406,113324.2686
大工业用电,2019/4/27,137936.0946,106272.6828
大工业用电,2019/4/28,135736.2732,101373.5502
大工业用电,2019/4/29,135882.2526,103197.1482
大工业用电,2019/4/30,126337.2186,97323.8964
大工业用电,2019/5/1,110709.2436,47146.4676
大工业用电,2019/5/2,80901.0486,52875.0186
大工业用电,2019/5/3,108790.4286,73346.0658
大工业用电,2019/5/4,120066.8916,91618.4964
大工业用电,2019/5/5,120646.827,98101.0494
大工业用电,2019/5/6,132131.928,104240.7606
大工业用电,2019/5/7,131731.9266,99372.8544
大工业用电,2019/5/8,131545.11,106037.8326
大工业用电,2019/5/9,134805.99,106759.2678
大工业用电,2019/5/10,130120.5306,104193.8442
大工业用电,2019/5/11,126833.949,100474.8876
大工业用电,2019/5/12,123637.1814,92308.3236
大工业用电,2019/5/13,141451.6578,108916.5
大工业用电,2019/5/14,137817.426,108795.3462
大工业用电,2019/5/15,138566.4558,107697.7218
大工业用电,2019/5/16,135951.1548,105956.1138
大工业用电,2019/5/17,141613.5708,107147.3664
大工业用电,2019/5/18,133473.4842,103370.6724
大工业用电,2019/5/19,124058.2812,97149.2832
大工业用电,2019/5/20,135250.3608,101118.3576
大工业用电,2019/5/21,141596.5914,108516.9006
大工业用电,2019/5/22,136047.5034,105945.2712
大工业用电,2019/5/23,133083.6066,104266.5486
大工业用电,2019/5/24,136262.1306,106699.8996
大工业用电,2019/5/25,134391.15,105461.5716
大工业用电,2019/5/26,122551.3122,90529.6872
大工业用电,2019/5/27,134882.2686,104139.6816
大工业用电,2019/5/28,133755.5424,99835.296
大工业用电,2019/5/29,128917.974,104229.7638
大工业用电,2019/5/30,129848.5458,99803.6004
大工业用电,2019/5/31,127650.1296,96811.8486
大工业用电,2019/6/1,120154.434,96440.9526
大工业用电,2019/6/2,118313.004,91741.1232
大工业用电,2019/6/3,133750.914,103205.8482
大工业用电,2019/6/4,138806.7354,105472.3782
大工业用电,2019/6/5,142735.8276,99916.7298
大工业用电,2019/6/6,130332.3972,96464.5794
大工业用电,2019/6/7,114016.8078,53907.9846
大工业用电,2019/6/8,101529.063,1283.472
大工业用电,2019/6/9,117999.288,1818.696
大工业用电,2019/6/10,133365.241,501.228
大工业用电,2019/6/11,142559.2464,927.84
大工业用电,2019/6/12,132392.0832,98541.4746
大工业用电,2019/6/13,141910.0872,85664.5122
大工业用电,2019/6/14,125628.1674,18526.2492
大工业用电,2019/6/15,2433.882,2.82
大工业用电,2019/6/16,90357.6504,2.82
大工业用电,2019/6/17,133505.8578,33574.0608
大工业用电,2019/6/18,135419.4144,95344.3494
大工业用电,2019/6/19,132829.7682,82100.145
大工业用电,2019/6/20,142114.5768,101955.6798
大工业用电,2019/6/21,138804.0864,104240.7888
大工业用电,2019/6/22,132029.7996,97619.037
大工业用电,2019/6/23,124185.7056,71319.174
大工业用电,2019/6/24,132512.1114,76879.3176
大工业用电,2019/6/25,126716.5296,80875.5192
大工业用电,2019/6/26,116773.8594,80134.7076
大工业用电,2019/6/27,126110.7708,84507.3582
大工业用电,2019/6/28,126010.2186,89051.4198
大工业用电,2019/6/29,121016.3292,87547.0284
大工业用电,2019/6/30,116409.0714,82886.2524
大工业用电,2019/7/1,128677.7118,98878.0116
大工业用电,2019/7/2,135806.7798,98761.5222
大工业用电,2019/7/3,138405.2238,102240.4068
大工业用电,2019/7/4,141753.9792,102880.5702
大工业用电,2019/7/5,138814.4694,106263.1176
大工业用电,2019/7/6,138907.749,292.452
大工业用电,2019/7/7,131224.0488,96630.0312
大工业用电,2019/7/8,145433.1876,106374.2538
大工业用电,2019/7/9,141784.1274,107192.463
大工业用电,2019/7/10,140044.7442,104719.3356
大工业用电,2019/7/11,135196.2198,34360.8342
大工业用电,2019/7/12,138374.754,100937.4066
大工业用电,2019/7/13,131545.8936,101170.1988
大工业用电,2019/7/14,128013.381,93039.7464
大工业用电,2019/7/15,139914.3402,106793.2026
大工业用电,2019/7/16,133768.8402,101287.9008
大工业用电,2019/7/17,139402.566,108336.9414
大工业用电,2019/7/18,141806.3028,105978.3174
大工业用电,2019/7/19,137793.516,39765.672
大工业用电,2019/7/20,131283.0198,2771.718
大工业用电,2019/7/21,125250.6816,430.56
大工业用电,2019/7/22,140553.846,8948.262
大工业用电,2019/7/23,139481.814,103378.341
大工业用电,2019/7/24,138387.0774,108190.5258
大工业用电,2019/7/25,143828.9874,103207.1712
大工业用电,2019/7/26,136263.519,102097.4106
大工业用电,2019/7/27,135317.4882,102668.3016
大工业用电,2019/7/28,124151.8386,95866.6548
大工业用电,2019/7/29,136578.8334,840.63
大工业用电,2019/7/30,137935.446,106145.0994
大工业用电,2019/7/31,133450.9476,102755.1744
大工业用电,2019/8/1,124440.861,99967.6866
大工业用电,2019/8/2,128891.352,105240.2118
大工业用电,2019/8/3,135959.1402,104180.7642
大工业用电,2019/8/4,126590.109,94465.6242
大工业用电,2019/8/5,142170.3558,108287.5836
大工业用电,2019/8/6,136744.92,107286.1878
大工业用电,2019/8/7,145080.9756,111968.2908
大工业用电,2019/8/8,139691.9814,111525.735
大工业用电,2019/8/9,142389.7548,111697.5594
大工业用电,2019/8/10,141970.9194,106191.7968
大工业用电,2019/8/11,127302.816,89159.538
大工业用电,2019/8/12,138430.7082,103946.1726
大工业用电,2019/8/13,139509.8376,105443.4624
大工业用电,2019/8/14,142163.3406,105063.831
大工业用电,2019/8/15,138823.14,104066.7438
大工业用电,2019/8/16,137081.0544,102428.1486
大工业用电,2019/8/17,133515.6042,101262.699
大工业用电,2019/8/18,123181.4418,93827.001
大工业用电,2019/8/19,138404.2956,105022.5942
大工业用电,2019/8/20,140097.549,106274.0442
大工业用电,2019/8/21,138801.09,105729.7752
大工业用电,2019/8/22,141532.725,105126.4122
大工业用电,2019/8/23,141959.2488,106154.3802
大工业用电,2019/8/24,133769.529,100095.7362
大工业用电,2019/8/25,118841.2452,89400.3492
大工业用电,2019/8/26,134598.5358,102273.7092
大工业用电,2019/8/27,139665.1902,106710.8196
大工业用电,2019/8/28,141173.1606,107157.5352
大工业用电,2019/8/29,143022.1518,107173.6464
大工业用电,2019/8/30,137361.0973,104783.145
大工业用电,2019/8/31,128536.9092,96985.3878
大工业用电,2019/9/1,115260.3366,88919.6304
大工业用电,2019/9/2,134190.0834,101245.935
大工业用电,2019/9/3,134815.8318,105975.7158
大工业用电,2019/9/4,137454.5472,106164.8022
大工业用电,2019/9/5,138554.0412,106283.6688
大工业用电,2019/9/6,139425.5742,107830.671
大工业用电,2019/9/7,136867.9656,103502.4918
大工业用电,2019/9/8,123669.933,97728.3252
大工业用电,2019/9/9,143512.8846,111570.6828
大工业用电,2019/9/10,143975.8092,110594.4282
大工业用电,2019/9/11,144935.3532,111011.0844
大工业用电,2019/9/12,130518.309,91191.8034
大工业用电,2019/9/13,101425.545,50203.3512
大工业用电,2019/9/14,95938.9584,54266.7366
大工业用电,2019/9/15,120949.3284,85672.9152
大工业用电,2019/9/16,137756.04,105029.6094
大工业用电,2019/9/17,133859.0556,103817.9202
大工业用电,2019/9/18,137840.4288,105915.162
大工业用电,2019/9/19,134073.0336,106669.653
大工业用电,2019/9/20,135355.6998,106198.4022
大工业用电,2019/9/21,132663.8934,106555.314
大工业用电,2019/9/22,122566.2444,99966.6102
大工业用电,2019/9/23,137352.2196,105548.7264
大工业用电,2019/9/24,138557.721,107308.7628
大工业用电,2019/9/25,137511.0366,106390.3044
大工业用电,2019/9/26,135745.3998,105414.4212
大工业用电,2019/9/27,133870.7808,106777.848
大工业用电,2019/9/28,131411.4288,105558.435
大工业用电,2019/9/29,135163.11,104455.4436
大工业用电,2019/9/30,120460.5732,83297.7318
大工业用电,2019/10/1,96420.732,47731.8426
大工业用电,2019/10/2,71005.7052,50497.0182
大工业用电,2019/10/3,91645.9296,64281.4788
大工业用电,2019/10/4,108846.9732,82988.2578
大工业用电,2019/10/5,118992.7056,93618.0612
大工业用电,2019/10/6,122807.2368,95162.121
大工业用电,2019/10/7,128486.8716,101054.9196
大工业用电,2019/10/8,138250.1178,106552.716
大工业用电,2019/10/9,136201.0086,105880.1676
大工业用电,2019/10/10,134245.0128,107345.3994
大工业用电,2019/10/11,132520.77,103255.6512
大工业用电,2019/10/12,134475.2892,107469.2358
大工业用电,2019/10/13,122049.2202,95787.1584
大工业用电,2019/10/14,134237.6268,106089.7224
大工业用电,2019/10/15,132833.1366,94790.4546
大工业用电,2019/10/16,129091.2648,101965.2552
大工业用电,2019/10/17,136321.4088,87435.7014
大工业用电,2019/10/18,134100.0576,104807.4966
大工业用电,2019/10/19,132082.0488,102414.6696
大工业用电,2019/10/20,118111.0224,89831.1234
大工业用电,2019/10/21,135802.9578,103141.0152
大工业用电,2019/10/22,132886.0698,106520.5242
大工业用电,2019/10/23,134851.3494,95284.6764
大工业用电,2019/10/24,133375.2132,104922.7008
大工业用电,2019/10/25,132864.4644,93499.7664
大工业用电,2019/10/26,121119.6036,79990.17
大工业用电,2019/10/27,114914.4252,92644.3614
大工业用电,2019/10/28,127283.8266,93151.8786
大工业用电,2019/10/29,127687.2127,101362.5234
大工业用电,2019/10/30,125054.0202,83157.2688
大工业用电,2019/10/31,125347.0248,97805.8848
大工业用电,2019/11/1,120020.3379,95896.9482
大工业用电,2019/11/2,123209.826,96586.32
大工业用电,2019/11/3,111607.2492,89860.2786
大工业用电,2019/11/4,124334.6736,99197.2272
大工业用电,2019/11/5,126181.1232,99503.9316
大工业用电,2019/11/6,124283.5476,100525.9908
大工业用电,2019/11/7,125580.3156,102386.634
大工业用电,2019/11/8,125508.4794,100814.3934
大工业用电,2019/11/9,122831.6154,24121.998
大工业用电,2019/11/10,115379.0742,92988.4026
大工业用电,2019/11/11,117359.6472,95411.6898
大工业用电,2019/11/12,126895.9734,99716.0154
大工业用电,2019/11/13,124393.872,104286.0312
大工业用电,2019/11/14,124016.4678,100199.0106
大工业用电,2019/11/15,121312.7382,99964.2954
大工业用电,2019/11/16,116373.9906,95562.9612
大工业用电,2019/11/17,107865.2388,86864.2464
大工业用电,2019/11/18,121443.282,96596.6424
大工业用电,2019/11/19,121494.4374,99037.1406
大工业用电,2019/11/20,123396.8736,96889.7316
大工业用电,2019/11/21,125191.1442,97762.4928
大工业用电,2019/11/22,124446.8868,99866.5974
大工业用电,2019/11/23,120007.6764,97636.9644
大工业用电,2019/11/24,110712.2058,90904.2798
大工业用电,2019/11/25,122268.8046,97138.1658
大工业用电,2019/11/26,119968.8936,93741.8304
大工业用电,2019/11/27,125903.0898,99398.3298
大工业用电,2019/11/28,124145.1252,98699.958
大工业用电,2019/11/29,124322.4036,100380.5148
大工业用电,2019/11/30,119327.9472,93437.5176
大工业用电,2019/12/1,107498.709,86652.1734
大工业用电,2019/12/2,119825.8998,36398.4522
大工业用电,2019/12/3,122034.3528,98504.0928
大工业用电,2019/12/4,120844.0866,97055.1606
大工业用电,2019/12/5,121444.5858,99743.313
大工业用电,2019/12/6,122131.5804,46157.928
大工业用电,2019/12/7,120133.0884,95168.7738
大工业用电,2019/12/8,112274.1396,89040.8256
大工业用电,2019/12/9,122197.1604,98535.36
大工业用电,2019/12/10,116067.4284,91527.1458
大工业用电,2019/12/11,118134.498,96227.202
大工业用电,2019/12/12,120764.4396,86015.7312
大工业用电,2019/12/13,120102.144,97973.1912
大工业用电,2019/12/14,117795.0696,94724.3262
大工业用电,2019/12/15,107559.0114,86778.8388
大工业用电,2019/12/16,116913.2604,87810.057
大工业用电,2019/12/17,124552.0614,100319.8098
大工业用电,2019/12/18,125412.642,87402.3348
大工业用电,2019/12/19,120321.5034,99182.7126
大工业用电,2019/12/20,124049.4156,100625.3892
大工业用电,2019/12/21,118550.2398,97502.5974
大工业用电,2019/12/22,110639.2836,85498.8054
大工业用电,2019/12/23,121216.6968,94349.5266
大工业用电,2019/12/24,121129.8978,96431.4456
大工业用电,2019/12/25,120693.6132,98851.8432
大工业用电,2019/12/26,116953.0248,95559.237
大工业用电,2019/12/27,116780.0238,94881.7008
大工业用电,2019/12/28,113528.5638,93089.6616
大工业用电,2019/12/29,105079.3512,86902.299
大工业用电,2019/12/30,111888.1518,89882.622
大工业用电,2019/12/31,103748.8848,75158.331
大工业用电,2020/1/1,86410.4784,56778.9192
大工业用电,2020/1/2,109635.8022,64790.8734
大工业用电,2020/1/3,113761.7268,88375.9074
大工业用电,2020/1/4,110316.7122,82750.188
大工业用电,2020/1/5,103543.6194,83213.0802
大工业用电,2020/1/6,109921.4592,80866.248
大工业用电,2020/1/7,109531.0482,77793.3912
大工业用电,2020/1/8,105050.0334,74976.8916
大工业用电,2020/1/9,104348.8584,76340.4306
大工业用电,2020/1/10,99783.0852,76142.2884
大工业用电,2020/1/11,94966.977,70088.6898
大工业用电,2020/1/12,83461.4976,62754.0822
大工业用电,2020/1/13,84637.8348,51269.6598
大工业用电,2020/1/14,75080.829,55639.3386
大工业用电,2020/1/15,66902.8524,49661.727
大工业用电,2020/1/16,58883.6124,45042.0834
大工业用电,2020/1/17,53413.3284,42290.1444
大工业用电,2020/1/18,47752.9332,33372.9996
大工业用电,2020/1/19,42063.768,32967.9024
大工业用电,2020/1/20,37901.175,29895.7338
大工业用电,2020/1/21,35649.9528,25923.012
大工业用电,2020/1/22,31070.3394,21643.581
大工业用电,2020/1/23,23421.7992,19151.3904
大工业用电,2020/1/24,22903.3572,18726.4326
大工业用电,2020/1/25,22615.4514,18987.5424
大工业用电,2020/1/26,22293.5514,10027.9578
大工业用电,2020/1/27,22782.876,16920.5088
大工业用电,2020/1/28,23103.8406,19619.3736
大工业用电,2020/1/29,21996.435,17074.0038
大工业用电,2020/1/30,22996.65,16422.1074
大工业用电,2020/1/31,23358.9654,14509.3596
大工业用电,2020/2/1,22617.1344,19633.4718
大工业用电,2020/2/2,23395.7742,19817.7666
大工业用电,2020/2/3,29507.6142,20023.4016
大工业用电,2020/2/4,29737.2198,25416.3516
大工业用电,2020/2/5,29775.2436,26593.2978
大工业用电,2020/2/6,29731.0074,26582.196
大工业用电,2020/2/7,29953.7892,26972.0694
大工业用电,2020/2/8,29898.4236,24123.1458
大工业用电,2020/2/9,30613.4076,27110.9202
大工业用电,2020/2/10,37162.4268,22549.9356
大工业用电,2020/2/11,37483.2894,29648.8698
大工业用电,2020/2/12,40961.5626,3675.5352
大工业用电,2020/2/13,41754.9252,30634.9332
大工业用电,2020/2/14,40905.6042,27561.1416
大工业用电,2020/2/15,40311.5556,27868.3452
大工业用电,2020/2/16,38134.779,27027.8706
大工业用电,2020/2/17,45202.7142,30931.4286
大工业用电,2020/2/18,46818.1524,32684.4516
大工业用电,2020/2/19,49358.8368,32881.2804
大工业用电,2020/2/20,42437.5368,27013.6044
大工业用电,2020/2/21,46016.6472,25042.1928
大工业用电,2020/2/22,47277.474,26964.3756
大工业用电,2020/2/23,50296.728,28655.2842
大工业用电,2020/2/24,60335.6316,32164.0122
大工业用电,2020/2/25,66768.2136,33827.9694
大工业用电,2020/2/26,69039.6222,39921.393
大工业用电,2020/2/27,74462.955,43758.8238
大工业用电,2020/2/28,75364.5498,46930.7076
大工业用电,2020/2/29,75890.4282,45386.2794
大工业用电,2020/3/1,72415.02,46580.868
大工业用电,2020/3/2,89982.8922,49859.544
大工业用电,2020/3/3,94500.1896,47432.1024
大工业用电,2020/3/4,95176.026,58366.749
大工业用电,2020/3/5,97755.5454,59346.654
大工业用电,2020/3/6,98183.6046,61425.0114
大工业用电,2020/3/7,94784.8626,63021.8418
大工业用电,2020/3/8,93334.56,62944.1634
大工业用电,2020/3/9,103511.4102,66772.0248
大工业用电,2020/3/10,104097.1356,69204.8658
大工业用电,2020/3/11,104637.6234,71732.4162
大工业用电,2020/3/12,104789.5488,75440.8482
大工业用电,2020/3/13,110197.9806,78566.3736
大工业用电,2020/3/14,104002.854,73028.223
大工业用电,2020/3/15,92661.387,67463.616
大工业用电,2020/3/16,107960.889,79298.253
大工业用电,2020/3/17,112815.7266,81181.3206
大工业用电,2020/3/18,113799.8616,83488.6902
大工业用电,2020/3/19,115721.004,84133.1568
大工业用电,2020/3/20,113400.3636,81770.8932
大工业用电,2020/3/21,109331.9148,80709.3246
大工业用电,2020/3/22,100431.3336,77038.6818
大工业用电,2020/3/23,114657.7404,86005.1202
大工业用电,2020/3/24,115133.3904,79927.6956
大工业用电,2020/3/25,118633.8288,87142.4346
大工业用电,2020/3/26,114628.8348,84294.8196
大工业用电,2020/3/27,119821.341,85707.5568
大工业用电,2020/3/28,116312.9466,86584.8894
大工业用电,2020/3/29,107825.472,82306.896
大工业用电,2020/3/30,118312.638,88910.9142
大工业用电,2020/3/31,114880.4658,87491.4942
大工业用电,2020/4/1,117661.1328,77800.1118
大工业用电,2020/4/2,116945.445,88551.4272
大工业用电,2020/4/3,104595.2166,75413.157
大工业用电,2020/4/4,86937.8148,58555.9242
大工业用电,2020/4/5,89757.5592,60511.9368
大工业用电,2020/4/6,109213.47,79143.5376
大工业用电,2020/4/7,114672.3228,87645.684
大工业用电,2020/4/8,114849.1884,88618.0986
大工业用电,2020/4/9,114602.0118,88617.6132
大工业用电,2020/4/10,113634.573,87891.4038
大工业用电,2020/4/11,109881.7338,81399.3654
大工业用电,2020/4/12,102863.8974,77031.2454
大工业用电,2020/4/13,110083.026,84245.3718
大工业用电,2020/4/14,110142.7368,83663.4792
大工业用电,2020/4/15,109010.3922,82227.8106
大工业用电,2020/4/16,109204.9188,87885.8124
大工业用电,2020/4/17,111399.6288,86272.8498
大工业用电,2020/4/18,108882.7986,80659.5372
大工业用电,2020/4/19,104638.9698,74316.435
大工业用电,2020/4/20,113342.9952,85060.1592
大工业用电,2020/4/21,120225.6954,88031.7498
大工业用电,2020/4/22,113873.0154,83529.1002
大工业用电,2020/4/23,114846.9576,85369.0944
大工业用电,2020/4/24,113327.571,84472.2852
大工业用电,2020/4/25,106120.5276,81075.2154
大工业用电,2020/4/26,101500.0944,77138.6694
大工业用电,2020/4/27,112037.4978,85886.7984
大工业用电,2020/4/28,115509.0324,88451.8128
大工业用电,2020/4/29,112926.1104,87334.245
大工业用电,2020/4/30,106964.4504,69573.342
大工业用电,2020/5/1,91227.3594,47123.691
大工业用电,2020/5/2,71070.8676,49849.0386
大工业用电,2020/5/3,83450.3442,65276.373
大工业用电,2020/5/4,106244.8386,76608.4404
大工业用电,2020/5/5,110857.128,82062.9906
大工业用电,2020/5/6,122112.0318,96007.6704
大工业用电,2020/5/7,125822.9454,97568.265
大工业用电,2020/5/8,129405.5124,99771.9288
大工业用电,2020/5/9,126186.018,94434.3204
大工业用电,2020/5/10,114581.6802,85107.561
大工业用电,2020/5/11,123372.9798,90190.035
大工业用电,2020/5/12,128142.3096,96624.0546
大工业用电,2020/5/13,128934.9444,97325.0262
大工业用电,2020/5/14,129172.4802,96629.2458
大工业用电,2020/5/15,126516.7122,96771.9306
大工业用电,2020/5/16,116669.1342,88574.5212
大工业用电,2020/5/17,104329.1688,80698.5672
大工业用电,2020/5/18,124881.4944,91561.9278
大工业用电,2020/5/19,126320.5764,97500.1104
大工业用电,2020/5/20,125587.7112,94200.057
大工业用电,2020/5/21,129555.3792,99443.6916
大工业用电,2020/5/22,124235.4588,96238.4928
大工业用电,2020/5/23,119321.502,92670.669
大工业用电,2020/5/24,111757.5588,85754.1336
大工业用电,2020/5/25,129322.266,96810.267
大工业用电,2020/5/26,124831.2276,91479.8292
大工业用电,2020/5/27,124260.6054,96403.0104
大工业用电,2020/5/28,122790.717,96556.8636
大工业用电,2020/5/29,123755.3778,96315.6444
大工业用电,2020/5/30,119152.7172,91365.285
大工业用电,2020/5/31,108335.9118,81617.2752
大工业用电,2020/6/1,118027.8402,89530.5258
大工业用电,2020/6/2,117433.3698,89263.806
大工业用电,2020/6/3,111011.9034,91376.3796
大工业用电,2020/6/4,124167.3156,93841.1322
大工业用电,2020/6/5,126699.549,93252.2562
大工业用电,2020/6/6,116800.8006,86358.7158
大工业用电,2020/6/7,109299.318,82359.4536
大工业用电,2020/6/8,122890.1772,92499.858
大工业用电,2020/6/9,123317.769,90377.736
大工业用电,2020/6/10,122476.2072,90035.061
大工业用电,2020/6/11,119862.9222,89507.5476
大工业用电,2020/6/12,125335.3104,93140.7492
大工业用电,2020/6/13,120449.9208,86470.647
大工业用电,2020/6/14,109268.8128,80732.5164
大工业用电,2020/6/15,123881.5956,89776.473
大工业用电,2020/6/16,121114.5366,91569.2346
大工业用电,2020/6/17,124652.061,93831.8958
大工业用电,2020/6/18,128378.4912,93081.0102
大工业用电,2020/6/19,126654.9816,92547.7926
大工业用电,2020/6/20,120373.9656,89575.8558
大工业用电,2020/6/21,109520.6622,79793.6652
大工业用电,2020/6/22,127413.4914,93501.5898
大工业用电,2020/6/23,130809.7614,96501.567
大工业用电,2020/6/24,126411.4626,85995.5436
大工业用电,2020/6/25,102519.807,57544.6524
大工业用电,2020/6/26,103714.2474,63292.3896
大工业用电,2020/6/27,115043.5608,86725.056
大工业用电,2020/6/28,120584.187,87626.3694
大工业用电,2020/6/29,125326.029,92252.5614
大工业用电,2020/6/30,123467.1408,89776.3344
大工业用电,2020/7/1,120383.325,90474.0246
大工业用电,2020/7/2,126374.2938,93411.63
大工业用电,2020/7/3,125065.1346,544.8
大工业用电,2020/7/4,122525.9388,92072.4744
大工业用电,2020/7/5,114038.5986,86598.006
大工业用电,2020/7/6,130482.495,95397.711
大工业用电,2020/7/7,135124.9878,98150.1594
大工业用电,2020/7/8,134151.3852,98432.0772
大工业用电,2020/7/9,133667.7156,99430.53
大工业用电,2020/7/10,133084.1826,97832.8086
大工业用电,2020/7/11,124069.3902,92034.591
大工业用电,2020/7/12,114632.9652,87325.4382
大工业用电,2020/7/13,133915.4328,99506.5472
大工业用电,2020/7/14,134201.1876,103179.72
大工业用电,2020/7/15,131144.8002,98913.0342
大工业用电,2020/7/16,129918.8412,100810.9926
大工业用电,2020/7/17,135924.6258,100318.2438
大工业用电,2020/7/18,129175.9512,98418.1722
大工业用电,2020/7/19,117179.8884,94177.0038
