日期,天气状况,最高温度,最低温度,白天风力风向,夜晚风力风向,,,
2018年4月26日,小雨-中雨/雷阵雨,27℃,22℃,无持续风向<3级,无持续风向<3级,,,27℃
2018年4月27日,阴/阵雨,26℃,22℃,无持续风向<3级,无持续风向<3级,,,26℃
2018年4月28日,阵雨/阵雨,26℃,22℃,微风<3级,微风<3级,,,26℃
2018年4月29日,阵雨/阴,28℃,23℃,微风<3级,微风<3级,,,28℃
2018年4月30日,阵雨/阵雨,29℃,25℃,无持续风向<3级,无持续风向<3级,,,29℃
2018年5月1日,雷阵雨/雷阵雨,31℃,24℃,无持续风向<3级,无持续风向<3级,,,31℃
2018年5月2日,雷阵雨/雷阵雨,31℃,23℃,无持续风向<3级,无持续风向<3级,,,31℃
2018年5月3日,阵雨/阵雨,31℃,22℃,无持续风向<3级,无持续风向<3级,,,31℃
2018年5月4日,小雨-中雨/雷阵雨,28℃,22℃,无持续风向<3级,无持续风向<3级,,,28℃
2018年5月5日,多云/阴,30℃,24℃,无持续风向<3级,无持续风向<3级,,,30℃
2018年5月6日,小雨-中雨/雷阵雨,30℃,24℃,无持续风向<3级,无持续风向<3级,,,30℃
2018年5月7日,中雨-大雨/中雨-大雨,29℃,22℃,无持续风向<3级,无持续风向<3级,,,29℃
2018年5月8日,雷阵雨/大雨,26℃,23℃,无持续风向<3级,无持续风向<3级,,,26℃
2018年5月9日,中雨-大雨/中雨,27℃,22℃,无持续风向<3级,无持续风向<3级,,,27℃
2018年5月10日,阵雨/阵雨,24℃,21℃,无持续风向<3级,无持续风向<3级,,,24℃
2018年5月11日,小雨-中雨/阵雨,27℃,23℃,无持续风向<3级,无持续风向<3级,,,27℃
2018年5月12日,阴/阴,29℃,24℃,无持续风向<3级,无持续风向<3级,,,29℃
2018年5月13日,阵雨/多云,33℃,24℃,无持续风向<3级,无持续风向<3级,,,33℃
2018年5月14日,雷阵雨/多云,33℃,24℃,无持续风向<3级,无持续风向<3级,,,33℃
2018年5月15日,多云/多云,35℃,26℃,无持续风向<3级,无持续风向<3级,,,35℃
2018年5月16日,多云/多云,34℃,26℃,无持续风向<3级,无持续风向<3级,,,34℃
2018年5月17日,多云/多云,34℃,26℃,微风<3级,微风<3级,,,34℃
2018年5月18日,多云/多云,34℃,27℃,无持续风向<3级,无持续风向<3级,,,34℃
2018年5月19日,多云/多云,34℃,27℃,无持续风向<3级,无持续风向<3级,,,34℃
2018年5月20日,阵雨/多云,34℃,26℃,微风<3级,微风<3级,,,34℃
2018年5月21日,阵雨/多云,33℃,26℃,微风<3级,微风<3级,,,33℃
2018年5月22日,阵雨/多云,33℃,26℃,微风<3级,微风<3级,,,33℃
2018年5月23日,多云/多云,34℃,26℃,无持续风向微风,无持续风向微风,,,34℃
2018年5月24日,多云/多云,36℃,27℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2018年5月25日,多云/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年5月26日,阵雨/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年5月27日,晴间多云/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年5月28日,雷阵雨/多云,35℃,26℃,无持续风向<3级,无持续风向<3级,,,35℃
2018年5月29日,多云/多云,35℃,27℃,无持续风向<3级,无持续风向<3级,,,35℃
2018年5月30日,多云/多云,35℃,27℃,无持续风向<3级,无持续风向<3级,,,35℃
2018年5月31日,雷阵雨/多云,36℃,27℃,无持续风向1-2级,无持续风向1-2级,,,36℃
2018年6月1日,雷阵雨/阵雨,34℃,26℃,微风<3级,微风<3级,,,34℃
2018年6月2日,中雨/中雨,32℃,25℃,微风<3级,微风<3级,,,32℃
2018年6月3日,阵雨/阵雨,31℃,25℃,微风<3级,微风<3级,,,31℃
2018年6月4日,阵雨/阵雨,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2018年6月5日,中雨/雷阵雨,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年6月6日,大雨/大雨,27℃,25℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2018年6月7日,暴雨/暴雨,28℃,24℃,东风3-4级,东风3-4级,,,28℃
2018年6月8日,大雨/大雨,27℃,24℃,东南风4-5级,东南风4-5级,,,27℃
2018年6月9日,多云/多云,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年6月10日,晴/多云,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年6月11日,晴/多云,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年6月12日,大雨/暴雨,30℃,25℃,无持续风向<3级,无持续风向<3级,,,30℃
2018年6月13日,中雨/阵雨,29℃,25℃,无持续风向<3级,无持续风向<3级,,,29℃
2018年6月14日,多云/多云,31℃,25℃,无持续风向<3级,无持续风向<3级,,,31℃
2018年6月15日,多云/多云,32℃,24℃,无持续风向<3级,无持续风向<3级,,,32℃
2018年6月16日,阴/阵雨,29℃,25℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2018年6月17日,多云/阵雨,32℃,25℃,无持续风向<3级,无持续风向<3级,,,32℃
2018年6月18日,雷阵雨/多云,33℃,27℃,无持续风向<3级,无持续风向<3级,,,33℃
2018年6月19日,阵雨/多云,34℃,27℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2018年6月20日,雷阵雨/多云,34℃,28℃,微风<3级,微风<3级,,,34℃
2018年6月21日,雷阵雨/雷阵雨,33℃,28℃,无持续风向<3级,无持续风向<3级,,,33℃
2018年6月22日,中雨/雷阵雨,32℃,26℃,无持续风向<3级,无持续风向<3级,,,32℃
2018年6月23日,大雨/雷阵雨,31℃,25℃,无持续风向<3级,无持续风向<3级,,,31℃
2018年6月24日,阵雨/阵雨,32℃,26℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2018年6月25日,中雨/阵雨,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2018年6月26日,雷阵雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2018年6月27日,多云/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2018年6月28日,多云/多云,35℃,27℃,无持续风向<3级,无持续风向<3级,,,35℃
2018年6月29日,多云/多云,35℃,27℃,无持续风向<3级,无持续风向<3级,,,35℃
2018年6月30日,阵雨/多云,35℃,27℃,无持续风向<3级,无持续风向<3级,,,35℃
2018年7月1日,雷阵雨/雷阵雨,34℃,28℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2018年7月2日,阵雨/多云,35℃,27℃,无持续风向<3级,无持续风向<3级,,,35℃
2018年7月3日,雷阵雨/雷阵雨,34℃,27℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2018年7月4日,多云/多云,34℃,28℃,无持续风向<3级,无持续风向<3级,,,34℃
2018年7月5日,阵雨/多云,35℃,28℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年7月6日,雷阵雨/多云,35℃,28℃,无持续风向<3级,无持续风向<3级,,,35℃
2018年7月7日,雷阵雨/阵雨,33℃,27℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2018年7月8日,雷阵雨/雷阵雨,32℃,26℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2018年7月9日,阵雨/多云,34℃,26℃,无持续风向<3级,无持续风向<3级,,,34℃
2018年7月10日,多云/多云,35℃,27℃,无持续风向<3级,无持续风向<3级,,,35℃
2018年7月11日,晴/多云,36℃,28℃,无持续风向<3级,无持续风向<3级,,,36℃
2018年7月12日,阵雨/雷阵雨,34℃,26℃,无持续风向<3级,无持续风向<3级,,,34℃
2018年7月13日,中雨/中雨,30℃,25℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2018年7月14日,大雨/阵雨,29℃,25℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2018年7月15日,中雨-大雨/阵雨,29℃,25℃,东风3～4级,无持续风向<3级,,,29℃
2018年7月16日,阴/多云,32℃,27℃,无持续风向<3级,无持续风向<3级,,,32℃
2018年7月17日,晴/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年7月18日,阵雨/多云,33℃,26℃,无持续风向<3级,无持续风向<3级,,,33℃
2018年7月19日,阵雨/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年7月20日,多云/多云,35℃,27℃,无持续风向<3级,无持续风向<3级,,,35℃
2018年7月21日,多云/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年7月22日,雷阵雨/阵雨,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年7月23日,大雨/大雨,31℃,26℃,无持续风向<3级,东南风3～4级,,,31℃
2018年7月24日,暴雨/阵雨,28℃,25℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2018年7月25日,阵雨/阵雨,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2018年7月26日,雷阵雨/阵雨,33℃,26℃,无持续风向<3级,无持续风向<3级,,,33℃
2018年7月27日,雷阵雨/多云,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2018年7月28日,雷阵雨/多云,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年7月29日,阵雨/多云,35℃,27℃,无持续风向<3级,无持续风向<3级,,,35℃
2018年7月30日,雷阵雨/多云,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年7月31日,雷阵雨/多云,33℃,26℃,无持续风向<3级,无持续风向<3级,,,33℃
2018年8月1日,雷阵雨/多云,34℃,26℃,无持续风向<3级,无持续风向<3级,,,34℃
2018年8月2日,雷阵雨/多云,34℃,27℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2018年8月3日,雷阵雨/阵雨,34℃,27℃,无持续风向<3级,无持续风向<3级,,,34℃
2018年8月4日,阵雨/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年8月5日,多云/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年8月6日,多云/多云,34℃,26℃,无持续风向<3级,无持续风向<3级,,,34℃
2018年8月7日,雷阵雨/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年8月8日,雷阵雨/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年8月9日,雷阵雨/雷阵雨,35℃,26℃,无持续风向<3级,无持续风向<3级,,,35℃
2018年8月10日,中雨/中雨,32℃,27℃,无持续风向<3级,无持续风向<3级,,,32℃
2018年8月11日,大雨/暴雨,29℃,25℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2018年8月12日,大雨/阴,30℃,25℃,无持续风向<3级,无持续风向<3级,,,30℃
2018年8月13日,阵雨/中雨,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2018年8月14日,雷阵雨/大雨,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年8月15日,中雨-大雨/阵雨,32℃,26℃,东风3～4级,无持续风向<3级,,,32℃
2018年8月16日,中雨/阵雨,32℃,26℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2018年8月17日,中雨/中雨,32℃,26℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2018年8月18日,雷阵雨/阵雨,33℃,27℃,微风<3级,微风<3级,,,33℃
2018年8月19日,雷阵雨/阵雨,34℃,27℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2018年8月20日,雷阵雨/多云,34℃,27℃,微风<3级,微风<3级,,,34℃
2018年8月21日,雷阵雨/阵雨,34℃,26℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2018年8月22日,雷阵雨/阵雨,34℃,26℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2018年8月23日,雷阵雨/阵雨,33℃,26℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2018年8月24日,雷阵雨/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年8月25日,雷阵雨/多云,35℃,27℃,无持续风向<3级,无持续风向<3级,,,35℃
2018年8月26日,阵雨/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年8月27日,雷阵雨/中雨,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年8月28日,中雨/大雨,28℃,25℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2018年8月29日,大雨/暴雨,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年8月30日,大雨/阵雨,28℃,25℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2018年8月31日,阵雨/阵雨,31℃,26℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年9月1日,大雨/阵雨,29℃,24℃,无持续风向1-2级,无持续风向1-2级,,,29℃
2018年9月2日,雷阵雨/阵雨,31℃,26℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年9月3日,阵雨/多云,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2018年9月4日,晴/多云,34℃,26℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2018年9月5日,晴/晴,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年9月6日,阵雨/多云,34℃,25℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2018年9月7日,大雨/中雨,31℃,24℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年9月8日,多云/多云,30℃,24℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2018年9月9日,晴/多云,31℃,24℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年9月10日,多云/多云,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2018年9月11日,多云/多云,33℃,24℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2018年9月12日,多云/多云,32℃,25℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2018年9月13日,阵雨/多云,33℃,25℃,无持续风向1-2级,无持续风向1-2级,,,33℃
2018年9月14日,多云/多云,35℃,27℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年9月15日,晴/多云,36℃,27℃,东北风3-4级,东北风3-4级,,,36℃
2018年9月16日,暴雨/大雨,30℃,25℃,东风8-9级,东风8-9级,,,30℃
2018年9月17日,大雨/阵雨,29℃,25℃,东南风3-4级,东南风3-4级,,,29℃
2018年9月18日,雷阵雨/多云,31℃,26℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年9月19日,多云/多云,35℃,26℃,无持续风向1-2级,无持续风向1-2级,,,35℃
2018年9月20日,多云/多云,34℃,26℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2018年9月21日,阴/阴,34℃,26℃,无持续风向1-2级,无持续风向1-2级,,,34℃
2018年9月22日,阵雨/雷阵雨,32℃,25℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2018年9月23日,雷阵雨/阵雨,32℃,24℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2018年9月24日,阵雨/多云,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年9月25日,雷阵雨/多云,31℃,25℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年9月26日,阴/多云,31℃,24℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年9月27日,雷阵雨/多云,32℃,24℃,无持续风向1-2级,无持续风向1-2级,,,32℃
2018年9月28日,多云/多云,31℃,23℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年9月29日,晴/晴,31℃,22℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年9月30日,晴/晴,31℃,22℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年10月1日,晴/晴,30℃,21℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2018年10月2日,晴/晴,31℃,21℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年10月3日,晴/晴,31℃,21℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年10月4日,晴/晴,30℃,21℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2018年10月5日,晴/晴,31℃,21℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年10月6日,晴/晴,30℃,20℃,无持续风向1-2级,无持续风向1-2级,,,30℃
2018年10月7日,晴/晴,31℃,22℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年10月8日,晴/多云,31℃,23℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年10月9日,多云/多云,31℃,22℃,无持续风向1-2级,无持续风向1-2级,,,31℃
2018年10月10日,阵雨/阵雨,25℃,20℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2018年10月11日,多云/多云,26℃,18℃,无持续风向1-2级,无持续风向1-2级,,,26℃
2018年10月12日,多云/多云,27℃,20℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2018年10月13日,小雨/阴,27℃,20℃,无持续风向1-2级,无持续风向1-2级,,,27℃
2018年10月14日,多云/多云,28℃,23℃,无持续风向1-2级,无持续风向1-2级,,,28℃
2018年10月15日,阵雨/中雨,25℃,20℃,无持续风向1-2级,无持续风向1-2级,,,25℃
2018年10月16日,阵雨/阵雨,26℃,19℃,无持续风向1-2级,无持续风向1-2级,,,26℃
